rec_id,deptype,depname,country,lat_dms,lon_dms,latitude,longitude
1,carb,Adiounedj,Mali,20-11N,0-04E,20.18333333,0.066666667
2,carb,Agate Mountain,Namibia,18-27S,12-05E,-18.45,12.08333333
3,carb,Aley,Canada,56-27N,123-44W,56.45,-123.7333333
5,carb,Anezrouf,Mali,20-04N,0-03E,20.06666667,0.05
6,carb,"Argor (South Bluff Creek, James Bay, Alpha-B)",Canada,50-45N,81-01W,50.75,-81.01666667
7,carb,Bailundo,Angola,12-09S,15-57E,-12.15,15.95
8,carb,Barra do Itapirapua,Brazil,24-41S,49-13W,-24.68333333,-49.21666667
9,carb,Bayan Obo (Baotou),China,41-45N,109-58E,41.75,109.9666667
10,carb,Bear Lodge Mountains (southern),United States,44-29N,104-27W,44.48333333,-104.45
11,carb,Bearpaw Mountains (Rocky Boy),United States,48-10N,109-44W,48.16666667,-109.7333333
13,carb,Big Spruce Lake,Canada,63-33N,115-55W,63.55,-115.9166667
14,carb,Bonga,Angola,4-16S,13-58E,-4.266666667,13.96666667
15,carb,Bou Naga,Mauritania,20-48N,13-42W,20.8,-13.7
16,carb,Capuia,Angola,11-54S,16-15E,-11.9,16.25
17,carb,Carb Lake,Canada,54-48N,92-00W,54.8,-92
18,carb,Cerro Manomo,Bolivia,15-30S,60-43W,-15.5,-60.71666667
19,carb,Changit,Russia,70-12N,100-06E,70.2,100.1
21,carb,Chernigovskii (Novopoltavskii),Ukraine,47-14N,36-15E,47.23333333,36.25
22,carb,Chiriguelo,Paraguay,22-39S,55-57W,-22.65,-55.95
23,carb,Coola,Angola,12-31S,15-16E,-12.51666667,15.26666667
24,carb,Dalkainle,Somalia,10-24N,43-16E,10.4,43.26666667
25,carb,Deep Creek,United States,42-03N,119-57W,42.05,-119.95
26,carb,Eldor Carbonatite Complex,Canada,56-36N,68-25W,56.6,-68.41666667
28,carb,Elet'ozerskii (Elet'ozero),Russia,66-04N,31-57E,66.06666667,31.95
29,carb,Elk Creek,United States,40-18N,96-12W,40.3,-96.2
30,carb,Eureka,Namibia,21-58S,15-19E,-21.96666667,15.31666667
31,carb,Fen,Norway,59-17N,9-17E,59.28333333,9.283333333
32,carb,Francon Quarry - Orleans (Eastview),Canada,45-28N,75-33W,45.46666667,-75.55
33,carb,Gem Park,United States,38-16N,105-33W,38.26666667,-105.55
34,carb,Glenover,South Africa,24-41S,27-21E,-24.68333333,27.35
36,carb,"Gornoe Ozero (Gornoozerskii, Ozrnyi)",Russia,59-56N,136-53E,59.93333333,136.8833333
37,carb,Goudini,South Africa,25-08S,26-12E,-25.13333333,26.2
38,carb,Hicks Dome,United States,37-36N,88-24W,37.6,-88.4
39,carb,"Iron Hill (Powderhorn, Cebolla Creek)",United States,38-15N,107-03W,38.25,-107.05
40,carb,Itanhaem,Brazil,24-08S,46-48W,-24.13333333,-46.8
41,carb,Kalkfeld (Etaneno),Namibia,20-48S,16-07E,-20.8,16.11666667
42,carb,Kapfrugwa (Gungwa),Zimbabwe,16-28S,32-09E,-16.46666667,32.15
44,carb,Keshya,Zambia,15-53S,28-27E,-15.88333333,28.45
45,carb,Khamna (Khamninskii),Russia,59-43N,136-25E,59.71666667,136.4166667
46,carb,Khanneshin,Afghanistan,30-28N,63-35E,30.46666667,63.58333333
47,carb,Kirumba,Congo (Zaire),1-05S,29-18E,-1.083333333,29.3
48,carb,Kizilçaören,Turkey,39-38N,31-23E,39.63333333,31.38333333
49,carb,Kugda,Russia,70-43N,103-28E,70.71666667,103.4666667
51,carb,Lesnaya Varaka,Russia,67-23N,33-04E,67.38333333,33.06666667
52,carb,Lofdal-Bergville,Namibia,20-21S,14-45E,-20.35,14.75
53,carb,Lolekek,Uganda,1-45N,34-27E,1.75,34.45
54,carb,Longonjo (Mt. Chibilundo),Angola,12-51S,015-15E,-12.85,15.25
55,carb,Lugin Gol,Mongolia,42-57N,108-34E,42.95,108.5666667
56,carb,"Lupongola (Lupulonga, Chitado)",Angola,17-11S,13-42E,-17.18333333,13.7
57,carb,Makonde,Tanzania,10-03S,34-31E,-10.05,34.51666667
59,carb,Marinkas Quellen (Marinkas Kwela),Namibia,28-10S,17-25E,-28.16666667,17.41666667
60,carb,Matchinskii,Kyrgyzstan,39-32N,70-47E,39.53333333,70.78333333
61,carb,Mato Preto,Brazil,24-45S,49-12W,-24.75,-49.2
62,carb,Megiscane Lake,Canada,48-34N,75-36W,48.56666667,-75.6
